,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Moses Malone,29.0,79,79.0,2957,602,1284,0.469,0,2,0.0,602,1282,0.47,0.469,737,904,0.815,385,646,1031,130,67,123,286,216,1941
1,2.0,Maurice Cheeks,28.0,78,78.0,2616,422,741,0.57,6,26,0.231,416,715,0.582,0.574,175,199,0.879,54,163,217,497,169,24,155,184,1025
2,3.0,Julius Erving,34.0,78,78.0,2535,610,1236,0.494,3,14,0.214,607,1222,0.497,0.495,338,442,0.765,172,242,414,233,135,109,208,199,1561
3,4.0,Charles Barkley,21.0,82,60.0,2347,427,783,0.545,1,6,0.167,426,777,0.548,0.546,293,400,0.733,266,437,703,155,95,80,209,301,1148
4,5.0,Andrew Toney,27.0,70,65.0,2237,450,914,0.492,39,105,0.371,411,809,0.508,0.514,306,355,0.862,35,142,177,363,65,24,224,211,1245
5,6.0,Bobby Jones,33.0,80,8.0,1633,207,385,0.538,0,4,0.0,207,381,0.543,0.538,186,216,0.861,105,192,297,155,84,50,118,183,600
6,7.0,Clint Richardson,28.0,74,20.0,1531,183,404,0.453,1,3,0.333,182,401,0.454,0.454,76,89,0.854,60,95,155,157,37,15,78,143,443
7,8.0,Sedale Threatt,23.0,82,0.0,1304,188,416,0.452,4,22,0.182,184,394,0.467,0.457,66,90,0.733,21,78,99,175,80,16,99,171,446
8,9.0,Clemon Johnson,28.0,58,0.0,875,117,235,0.498,0,1,0.0,117,234,0.5,0.498,36,49,0.735,92,129,221,33,15,44,43,112,270
9,10.0,George Johnson,28.0,55,3.0,756,107,263,0.407,1,10,0.1,106,253,0.419,0.409,49,56,0.875,48,116,164,38,31,16,49,99,264
10,11.0,Sam Williams,25.0,46,8.0,488,58,148,0.392,0,1,0.0,58,147,0.395,0.392,28,47,0.596,38,68,106,11,26,26,44,92,144
11,12.0,Leon Wood,22.0,38,1.0,269,50,134,0.373,4,30,0.133,46,104,0.442,0.388,18,26,0.692,3,15,18,45,8,0,25,17,122
12,13.0,Marc Iavaroni,28.0,12,10.0,156,12,31,0.387,0,0,,12,31,0.387,0.387,6,6,1.0,11,18,29,6,4,3,16,24,30
13,14.0,Steve Hayes,29.0,11,0.0,101,10,18,0.556,0,0,,10,18,0.556,0.556,2,4,0.5,11,23,34,1,1,4,2,19,22
14,,,,82,,19805,3443,6992,0.492,59,224,0.263,3384,6768,0.5,0.497,2316,2883,0.803,1301,2364,3665,1999,817,534,1575,1971,9261
