,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Clifford Robinson,33.0,80,67.0,2839,530,1142,0.464,120,324,0.37,410,818,0.501,0.517,298,381,0.782,105,254,359,224,90,61,166,239,1478
1,2.0,Jason Kidd,26.0,67,67.0,2616,350,855,0.409,56,166,0.337,294,689,0.427,0.442,203,245,0.829,96,387,483,678,134,28,226,148,959
2,3.0,Rodney Rogers,28.0,82,7.0,2286,428,881,0.486,115,262,0.439,313,619,0.506,0.551,159,249,0.639,138,309,447,170,94,47,163,290,1130
3,4.0,Anfernee Hardaway,28.0,60,60.0,2253,378,798,0.474,33,102,0.324,345,696,0.496,0.494,226,286,0.79,91,256,347,315,94,38,153,164,1015
4,5.0,Tom Gugliotta,30.0,54,54.0,1767,310,645,0.481,1,8,0.125,309,637,0.485,0.481,117,151,0.775,141,284,425,124,80,31,106,152,738
5,6.0,Luc Longley,31.0,72,68.0,1417,186,399,0.466,0,0,,186,399,0.466,0.466,80,97,0.825,100,223,323,77,22,42,136,221,452
6,7.0,Shawn Marion,21.0,51,38.0,1260,222,471,0.471,4,22,0.182,218,449,0.486,0.476,72,85,0.847,105,227,332,69,38,53,51,113,520
7,8.0,Oliver Miller,29.0,51,9.0,1088,137,233,0.588,0,0,,137,233,0.588,0.588,49,73,0.671,87,174,261,68,42,80,74,132,323
8,9.0,Randy Livingston,24.0,79,15.0,1081,155,373,0.416,19,55,0.345,136,318,0.428,0.441,52,62,0.839,25,105,130,170,49,13,92,129,381
9,10.0,Rex Chapman,32.0,53,19.0,957,124,320,0.388,41,123,0.333,83,197,0.421,0.452,59,78,0.756,10,70,80,62,22,1,38,70,348
10,11.0,Todd Day,30.0,58,1.0,941,130,330,0.394,64,165,0.388,66,165,0.4,0.491,72,108,0.667,31,98,129,65,44,22,50,127,396
11,12.0,Toby Bailey,24.0,46,2.0,449,58,140,0.414,2,10,0.2,56,130,0.431,0.421,45,65,0.692,26,46,72,30,13,4,24,55,163
12,13.0,Corie Blount,31.0,38,1.0,446,44,89,0.494,0,2,0.0,44,87,0.506,0.494,19,33,0.576,52,61,113,10,15,7,28,78,107
13,14.0,Don MacLean,30.0,16,0.0,143,18,49,0.367,2,6,0.333,16,43,0.372,0.388,4,6,0.667,6,17,23,8,2,1,8,24,42
14,15.0,Mark West,39.0,22,2.0,127,5,12,0.417,0,0,,5,12,0.417,0.417,5,8,0.625,6,25,31,2,2,4,6,23,15
15,16.0,Kevin Johnson,33.0,6,0.0,113,16,28,0.571,1,1,1.0,15,27,0.556,0.589,7,7,1.0,0,16,16,24,2,0,7,6,40
16,17.0,Ben Davis,27.0,5,0.0,22,2,6,0.333,0,0,,2,6,0.333,0.333,0,0,,3,6,9,2,1,1,3,2,4
17,,,,82,,19805,3093,6771,0.457,458,1246,0.368,2635,5525,0.477,0.491,1467,1934,0.759,1022,2558,3580,2098,744,433,1368,1973,8111
