,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Brandon Roy,23.0,74,74.0,2792,531,1170,0.454,73,215,0.34,458,955,0.48,0.485,281,373,0.753,81,267,348,430,79,16,136,147,1416
1,2.0,LaMarcus Aldridge,22.0,76,76.0,2649,561,1160,0.484,1,7,0.143,560,1153,0.486,0.484,227,298,0.762,220,358,578,122,55,94,126,240,1350
2,3.0,Steve Blake,27.0,81,78.0,2424,261,640,0.408,121,298,0.406,140,342,0.409,0.502,49,64,0.766,31,164,195,413,55,4,113,133,692
3,4.0,Jarrett Jack,24.0,82,16.0,2229,267,620,0.431,65,190,0.342,202,430,0.47,0.483,215,248,0.867,31,203,234,313,61,1,178,129,814
4,5.0,Travis Outlaw,23.0,82,6.0,2186,417,964,0.433,40,101,0.396,377,863,0.437,0.453,218,294,0.741,96,280,376,106,59,63,107,173,1092
5,6.0,Martell Webster,21.0,75,70.0,2132,277,656,0.422,123,317,0.388,154,339,0.454,0.516,122,166,0.735,54,242,296,90,42,28,83,159,799
6,7.0,Joel Przybilla,28.0,77,67.0,1819,144,250,0.576,0,1,0.0,144,249,0.578,0.576,83,122,0.68,195,454,649,27,13,93,95,234,371
7,8.0,Channing Frye,24.0,78,20.0,1342,221,453,0.488,3,10,0.3,218,443,0.492,0.491,85,109,0.78,107,247,354,57,29,27,55,208,530
8,9.0,James Jones,27.0,58,3.0,1276,143,327,0.437,91,205,0.444,52,122,0.426,0.576,86,98,0.878,43,118,161,34,24,15,28,96,463
9,10.0,Sergio Rodríguez,21.0,72,0.0,628,69,196,0.352,17,58,0.293,52,138,0.377,0.395,25,38,0.658,13,45,58,123,24,0,53,57,180
10,11.0,Raef LaFrentz,31.0,39,0.0,291,27,61,0.443,0,4,0.0,27,57,0.474,0.443,11,19,0.579,28,39,67,6,12,17,10,59,65
11,12.0,Von Wafer,22.0,8,0.0,64,7,23,0.304,3,11,0.273,4,12,0.333,0.37,2,4,0.5,0,9,9,2,0,2,2,3,19
12,13.0,Taurean Green,21.0,8,0.0,44,4,16,0.25,1,8,0.125,3,8,0.375,0.281,8,8,1.0,0,4,4,8,1,0,7,3,17
13,14.0,Josh McRoberts,20.0,8,0.0,28,6,10,0.6,0,1,0.0,6,9,0.667,0.6,0,0,,2,8,10,2,1,0,2,1,12
14,,,,82,,19905,2935,6546,0.448,538,1426,0.377,2397,5120,0.468,0.489,1412,1841,0.767,901,2438,3339,1733,455,360,1056,1642,7820
