,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Mitch Richmond,30.0,81,81.0,2946,611,1368,0.447,225,515,0.437,386,853,0.453,0.529,425,491,0.866,54,215,269,255,125,19,220,233,1872
1,2.0,Tyus Edney,22.0,80,60.0,2481,305,740,0.412,53,144,0.368,252,596,0.423,0.448,197,252,0.782,63,138,201,491,89,3,192,203,860
2,3.0,Olden Polynice,31.0,81,80.0,2441,431,818,0.527,1,3,0.333,430,815,0.528,0.528,122,203,0.601,257,507,764,58,52,66,127,250,985
3,4.0,Brian Grant,23.0,78,75.0,2398,427,842,0.507,4,17,0.235,423,825,0.513,0.51,262,358,0.732,175,370,545,127,40,103,185,269,1120
4,5.0,Michael Smith,23.0,65,0.0,1384,144,238,0.605,1,1,1.0,143,237,0.603,0.607,68,177,0.384,143,246,389,110,47,46,72,166,357
5,6.0,Walt Williams,25.0,45,45.0,1381,235,540,0.435,58,170,0.341,177,370,0.478,0.489,130,172,0.756,62,145,207,165,53,42,103,151,658
6,7.0,Bobby Hurley,24.0,72,22.0,1059,65,230,0.283,22,76,0.289,43,154,0.279,0.33,68,85,0.8,12,63,75,216,28,3,86,121,220
7,8.0,Duane Causwell,27.0,73,26.0,1044,90,216,0.417,0,1,0.0,90,215,0.419,0.417,70,96,0.729,86,162,248,20,27,78,53,173,250
8,9.0,Šarūnas Marčiulionis,31.0,53,0.0,1039,176,389,0.452,64,157,0.408,112,232,0.483,0.535,155,200,0.775,20,57,77,118,52,4,96,112,571
9,10.0,Tyrone Corbin,33.0,49,2.0,930,117,259,0.452,1,12,0.083,116,247,0.47,0.454,77,92,0.837,55,124,179,61,47,17,50,96,312
10,11.0,Lionel Simmons,27.0,54,5.0,810,86,217,0.396,19,51,0.373,67,166,0.404,0.44,55,75,0.733,41,104,145,83,31,20,51,85,246
11,12.0,Corliss Williamson,22.0,53,3.0,609,125,268,0.466,0,3,0.0,125,265,0.472,0.466,47,84,0.56,56,58,114,23,11,9,76,115,297
12,13.0,Billy Owens,26.0,22,11.0,594,84,200,0.42,5,12,0.417,79,188,0.42,0.433,45,70,0.643,49,76,125,70,19,16,51,60,218
13,14.0,Kevin Gamble,30.0,21,0.0,292,35,82,0.427,6,23,0.261,29,59,0.492,0.463,5,10,0.5,7,20,27,18,4,3,11,28,81
14,15.0,Byron Houston,26.0,25,0.0,276,32,64,0.5,1,3,0.333,31,61,0.508,0.508,21,26,0.808,31,53,84,7,13,7,17,59,86
15,16.0,Clint McDaniel,23.0,12,0.0,71,8,23,0.348,2,6,0.333,6,17,0.353,0.391,12,16,0.75,3,7,10,7,5,0,2,10,30
16,,,,82,,19755,2971,6494,0.457,462,1194,0.387,2509,5300,0.473,0.493,1759,2407,0.731,1114,2345,3459,1829,643,436,1442,2131,8163
