,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Karl Malone,29.0,82,82.0,3099,797,1443,0.552,4,20,0.2,793,1423,0.557,0.554,619,836,0.74,227,692,919,308,124,85,240,261,2217
1,2.0,John Stockton,30.0,82,82.0,2863,437,899,0.486,72,187,0.385,365,712,0.513,0.526,293,367,0.798,64,173,237,987,199,21,266,224,1239
2,3.0,Jeff Malone,31.0,79,59.0,2558,595,1205,0.494,3,9,0.333,592,1196,0.495,0.495,236,277,0.852,31,142,173,128,42,4,125,117,1429
3,4.0,Tyrone Corbin,30.0,82,58.0,2555,385,766,0.503,0,5,0.0,385,761,0.506,0.503,180,218,0.826,194,325,519,173,108,32,108,252,950
4,5.0,Jay Humphries,30.0,78,20.0,2034,287,659,0.436,15,75,0.2,272,584,0.466,0.447,101,130,0.777,40,103,143,317,101,11,132,236,690
5,6.0,David Benoit,24.0,82,27.0,1712,258,592,0.436,34,98,0.347,224,494,0.453,0.465,114,152,0.75,116,276,392,43,45,43,90,201,664
6,7.0,Mike Brown,29.0,82,21.0,1551,176,409,0.43,0,1,0.0,176,408,0.431,0.43,113,164,0.689,147,244,391,64,32,23,95,190,465
7,8.0,Larry Krystkowiak,28.0,71,0.0,1362,198,425,0.466,0,1,0.0,198,424,0.467,0.466,117,147,0.796,74,205,279,68,42,13,62,181,513
8,9.0,Mark Eaton,36.0,64,57.0,1104,71,130,0.546,0,0,,71,130,0.546,0.546,35,50,0.7,73,191,264,17,18,79,43,143,177
9,10.0,Isaac Austin,23.0,46,3.0,306,50,112,0.446,0,1,0.0,50,111,0.45,0.446,29,44,0.659,38,41,79,6,8,14,23,60,129
10,11.0,Stephen Howard,22.0,49,0.0,260,35,93,0.376,0,0,,35,93,0.376,0.376,34,53,0.642,26,34,60,10,15,12,23,58,104
11,12.0,John Crotty,23.0,40,0.0,243,37,72,0.514,2,14,0.143,35,58,0.603,0.528,26,38,0.684,4,13,17,55,11,0,30,29,102
12,13.0,James Donaldson,35.0,6,1.0,94,8,14,0.571,0,0,,8,14,0.571,0.571,5,9,0.556,6,23,29,1,1,7,4,13,21
13,14.0,Henry James,27.0,2,0.0,9,1,6,0.167,0,3,0.0,1,3,0.333,0.167,5,6,0.833,1,0,1,0,0,0,0,0,7
14,15.0,Tim Legler,26.0,3,0.0,5,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,0,1,1,0,0,0,0,0,2
15,,,,82,,19755,3336,6828,0.489,130,414,0.314,3206,6414,0.5,0.498,1907,2491,0.766,1041,2463,3504,2177,746,344,1270,1965,8709
