,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Gilbert Arenas,25.0,74,73.0,2942,647,1548,0.418,205,584,0.351,442,964,0.459,0.484,606,718,0.844,61,277,338,443,139,13,236,249,2105
1,2.0,Antawn Jamison,30.0,70,70.0,2662,512,1139,0.45,138,379,0.364,374,760,0.492,0.51,226,307,0.736,134,428,562,136,80,36,104,194,1388
2,3.0,Caron Butler,26.0,63,63.0,2474,451,975,0.463,18,72,0.25,433,903,0.48,0.472,283,328,0.863,147,320,467,233,134,17,181,188,1203
3,4.0,DeShawn Stevenson,25.0,82,82.0,2419,347,753,0.461,74,183,0.404,273,570,0.479,0.51,152,216,0.704,55,161,216,218,65,19,119,155,920
4,5.0,Antonio Daniels,31.0,80,8.0,1761,172,389,0.442,19,63,0.302,153,326,0.469,0.467,208,250,0.832,18,133,151,290,39,9,69,79,571
5,6.0,Brendan Haywood,27.0,77,49.0,1740,198,355,0.558,0,0,,198,355,0.558,0.558,115,210,0.548,195,282,477,47,34,88,90,208,511
6,7.0,Jarvis Hayes,25.0,81,17.0,1626,224,546,0.41,66,183,0.361,158,363,0.435,0.471,71,84,0.845,42,168,210,80,48,13,56,160,585
7,8.0,Etan Thomas,28.0,65,32.0,1246,159,277,0.574,0,0,,159,277,0.574,0.574,77,138,0.558,136,241,377,29,22,89,71,162,395
8,9.0,Darius Songaila,28.0,37,1.0,700,118,225,0.524,0,2,0.0,118,223,0.529,0.524,46,54,0.852,44,90,134,38,17,10,43,105,282
9,10.0,Andray Blatche,20.0,56,13.0,682,86,197,0.437,4,27,0.148,82,170,0.482,0.447,30,49,0.612,77,114,191,39,17,32,49,94,206
10,11.0,Roger Mason,26.0,62,0.0,492,59,179,0.33,33,102,0.324,26,77,0.338,0.422,14,16,0.875,7,38,45,35,13,6,19,66,165
11,12.0,Calvin Booth,30.0,44,1.0,380,31,66,0.47,1,2,0.5,30,64,0.469,0.477,6,10,0.6,27,54,81,18,4,29,9,71,69
12,13.0,Donell Taylor,24.0,47,1.0,369,56,140,0.4,3,17,0.176,53,123,0.431,0.411,11,21,0.524,14,39,53,45,17,3,25,34,126
13,14.0,Michael Ruffin,30.0,30,0.0,271,5,18,0.278,0,0,,5,18,0.278,0.278,7,19,0.368,35,27,62,6,6,8,12,43,17
14,15.0,James Lang,23.0,11,0.0,55,4,9,0.444,0,0,,4,9,0.444,0.444,3,5,0.6,5,6,11,2,0,3,2,14,11
15,16.0,Mike Hall,22.0,2,0.0,13,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,1,1,2,1,0,0,0,1,2
16,,,,82,,19830,3070,6820,0.45,561,1614,0.348,2509,5206,0.482,0.491,1855,2425,0.765,998,2379,3377,1660,635,375,1133,1823,8556
